Date,Open,High,Low,Close,Adj Close,Volume
1970-01-01,92.059998,94.250000,91.790001,92.629997,92.629997,41010000
1970-01-08,92.629997,93.470001,90.879997,91.650002,91.650002,49200000
1970-01-15,91.650002,92.489998,88.639999,89.949997,89.949997,53490000
1970-01-22,89.949997,90.800003,86.440002,86.790001,86.790001,52860000
1970-01-29,86.790001,87.660004,84.419998,86.239998,86.239998,65060000
1970-02-05,86.239998,87.849998,84.949997,86.940002,86.940002,52780000
1970-02-12,86.940002,88.070000,85.570000,87.440002,87.440002,62940000
1970-02-19,87.440002,89.800003,86.870003,89.349998,89.349998,47700000
1970-02-26,89.349998,91.050003,87.629997,90.040001,90.040001,60250000
1970-03-05,90.040001,90.989998,87.889999,88.690002,88.690002,50740000
1970-03-12,88.690002,89.430000,86.360001,87.540001,87.540001,46490000
1970-03-19,87.540001,91.070000,86.190002,89.769997,89.769997,50510000
1970-03-26,89.769997,90.650002,88.849998,90.070000,90.070000,39130000
1970-04-02,90.070000,90.699997,87.830002,88.489998,88.489998,46380000
1970-04-09,88.489998,89.320000,86.010002,86.730003,86.730003,48140000
1970-04-16,86.730003,87.129997,83.839996,84.269997,84.269997,48790000
1970-04-23,84.269997,84.300003,79.309998,81.809998,81.809998,60120000
1970-04-30,81.809998,82.570000,78.019997,79.470001,79.470001,54580000
1970-05-07,79.470001,80.599998,75.919998,76.529999,76.529999,44680000
1970-05-14,76.529999,77.680000,73.250000,73.519997,73.519997,59270000
1970-05-21,73.510002,73.510002,68.610001,72.769997,72.769997,76030000
1970-05-28,72.769997,79.220001,72.589996,78.519997,78.519997,78640000
1970-06-04,78.519997,79.959999,74.919998,75.480003,75.480003,49160000
1970-06-11,75.480003,78.040001,73.250000,76.000000,76.000000,44780000
1970-06-18,76.000000,78.050003,73.400002,73.970001,73.970001,51970000
1970-06-25,73.970001,74.930000,72.110001,72.940002,72.940002,44020000
1970-07-02,72.940002,73.919998,70.690002,73.000000,73.000000,39220000
1970-07-09,73.000000,75.680000,72.879997,75.230003,75.230003,46650000
1970-07-16,75.230003,78.720001,75.120003,77.029999,77.029999,60130000
1970-07-23,77.029999,78.809998,76.459999,78.040001,78.040001,51060000
1970-07-30,78.040001,79.029999,76.120003,77.180000,77.180000,45690000
1970-08-06,77.180000,78.089996,75.040001,75.419998,75.419998,39280000
1970-08-13,75.419998,77.580002,74.129997,76.959999,76.959999,42800000
1970-08-20,76.959999,82.260002,76.300003,81.209999,81.209999,75990000
1970-08-27,81.209999,82.470001,79.949997,80.959999,80.959999,57670000
1970-09-03,80.959999,83.779999,80.879997,82.790001,82.790001,62830000
1970-09-10,82.790001,83.190002,80.610001,81.790001,81.790001,57860000
1970-09-17,81.790001,83.500000,80.820000,81.910004,81.910004,73020000
1970-09-24,81.910004,84.989998,80.820000,84.300003,84.300003,88910000
1970-10-01,84.300003,87.750000,83.459999,86.889999,86.889999,80730000
1970-10-08,86.889999,87.370003,83.239998,84.190002,84.190002,56470000
1970-10-15,84.190002,85.279999,82.620003,83.660004,83.660004,54400000
1970-10-22,83.660004,84.300003,82.290001,83.430000,83.430000,48810000
1970-10-29,83.430000,85.260002,82.519997,84.389999,84.389999,54370000
1970-11-05,84.389999,86.239998,83.529999,85.029999,85.029999,57210000
1970-11-12,85.029999,85.540001,82.339996,82.790001,82.790001,52870000
1970-11-19,82.790001,85.699997,82.230003,85.089996,85.089996,58970000
1970-11-26,85.089996,88.830002,84.669998,88.480003,88.480003,65960000
1970-12-03,88.480003,90.470001,88.110001,89.540001,89.540001,79910000
1970-12-10,89.540001,90.930000,88.769997,89.720001,89.720001,71870000
1970-12-17,89.720001,90.860001,89.309998,90.099998,90.099998,70620000
1970-12-24,90.099998,92.989998,89.809998,92.269997,92.269997,61320000
1970-12-31,92.269997,93.000000,90.639999,92.349998,92.349998,52960000
